nn;size;acc
cnn;1000;0.727539598941803
lstm;1000;0.7287493348121643
gru;1000;0.738975465297699
gru+cnn;1000;0.7357333898544312
cnn;10000;0.7832027077674866
lstm;10000;0.7853317856788635
gru;10000;0.7847349643707275
gru+cnn;10000;0.7858479022979736
